file=sido-foo (200 100) iter=1600 (0.500000 0.750000) w=1.000000 h=0.500000 param=1.000000
#
# Dataset for average track length as function of K
#
# Computed for 1600 bits precision
# Sampled unit interval 3 times 67 bins
#
# Column labels:
# kay, avg-tracks/orbit expect 2^7=128, deficit, avg-tracklen, avg-longest, rms-len
#
1	0	128	-nan	0	-nan
0.995	14.4776	113.522	310.408	1353.69	540.156
0.99	126.328	1.67164	114.125	1383.55	297.396
0.985	126.806	1.19403	109.917	1332.8	287.181
0.98	90.1294	37.8706	60.3088	671.512	151.147
0.975	128	0	52.3536	662.104	137.382
0.97	128	0	51.3145	644.667	134.194
0.965	128	0	23.7614	288.458	61.2774
0.96	128	0	24.073	295.647	62.818
0.955	128	0	24.4731	291.234	63.389
0.95	128	0	21.8963	263.493	56.8005
0.945	128	0	21.8599	262.627	56.4445
0.94	128	0	21.8715	260.174	56.673
0.935	128	0	20.6867	247.303	53.5686
0.93	128	0	10.7849	117.114	27.3546
0.925	128	0	10.9326	119.806	27.8624
0.92	128	0	10.6989	120.388	27.3817
0.915	128	0	10.5419	120.109	27.0218
0.91	128	0	10.1662	117.303	25.9941
0.905	128	0	9.75472	108.328	24.8766
0.9	128	0	9.6576	105.841	24.6352
0.895	128	0	9.19558	101.423	23.4161
0.89	128	0	8.93813	97.9701	22.6782
0.885	128	0	8.80308	96.1493	22.3429
0.88	128	0	8.53527	92.7761	21.6174
0.875	120.09	7.91045	5.32173	50.6418	13.1597
0.87	128	0	5.14566	49.3831	12.8225
0.865	128	0	5.06117	49.3731	12.6217
0.86	128	0	4.92343	48.7711	12.3058
0.855	128	0	4.7899	47.6318	11.9756
0.85	128	0	4.8073	48.2587	12.031
0.845	128	0	4.7615	49.403	11.9541
0.84	128	0	4.6944	48.597	11.7808
0.835	128	0	4.70789	49.3582	11.8319
0.83	128	0	4.60498	47.9751	11.5677
0.825	128	0	4.55201	49	11.4822
0.82	128	0	4.52868	48.6368	11.4259
0.815	128	0	4.50974	48.6119	11.3951
0.81	128	0	4.49022	48.408	11.3381
0.805	128	0	3.26886	34.1741	8.22373
0.8	128	0	3.26062	34.4876	8.21001
0.795	128	0	3.15448	32.3532	7.92038
0.79	128	0	3.0891	32.8109	7.76829
0.785	128	0	3.0769	33.8109	7.76003
0.78	128	0	3.02777	33.3881	7.64552
0.775	128	0	3.00535	33.2736	7.59758
0.77	128	0	3.01227	34.2239	7.6377
0.765	128	0	2.99467	34.4328	7.60117
0.76	128	0	2.96896	34.0299	7.53555
0.755	128	0	3.01646	35.7313	7.71182
0.75	128	0	3.00471	35.8358	7.67519
0.745	128	0	3.01872	36.3284	7.72943
0.74	128	0	3.02827	37.3632	7.78531
0.735	128	0	3.02534	37.5473	7.78109
0.73	128	0	3.01585	37.1841	7.77578
0.725	128	0	3.05087	37.6269	7.88782
0.72	128	0	3.05256	38.4279	7.89734
0.715	128	0	3.05705	39.1343	7.91818
0.71	128	0	3.08856	39.6169	8.01814
0.705	128	0	3.17312	41.9751	8.28715
0.7	128	0	3.22059	43.6269	8.44291
0.695	128	0	3.26664	45.5025	8.60484
0.69	128	0	3.31289	45.7264	8.76429
0.685	128	0	3.31603	45.8607	8.78695
0.68	128	0	3.3755	47.7861	8.9809
0.675	128	0	3.40115	49.0597	9.05349
0.67	128	0	3.50022	51.1841	9.38792
0.665	128	0	3.49805	51.7313	9.40447
0.66	128	0	3.48876	51.1791	9.36333
0.655	128	0	3.6337	54.403	9.8097
0.65	128	0	3.75547	56.7214	10.1571
0.645	128	0	3.75894	57.6866	10.1852
0.64	128	0	3.91592	60.8955	10.6674
0.635	128	0	4.14018	64.1244	11.3153
0.63	128	0	4.26435	66.7761	11.6888
0.625	128	0	4.34717	68.8109	11.9396
0.62	128	0	4.61315	74.0348	12.7379
0.615	128	0	4.78437	75.6915	13.2286
0.61	128	0	4.88632	80.3582	13.6068
0.605	128	0	5.1406	84.4378	14.3162
0.6	128	0	5.37968	90.1294	15.0634
0.595	128	0	5.55937	92.602	15.5942
0.59	128	0	5.6937	94.7065	15.9787
0.585	128	0	6.33683	106.851	17.8561
0.58	128	0	6.86814	116.1	19.3769
0.575	128	0	6.90233	116.393	19.571
0.57	128	0	7.6498	130.93	21.7535
0.565	128	0	8.34884	142.96	23.758
0.56	128	0	8.8091	151.627	25.1063
0.555	128	0	9.747	169.438	27.8378
0.55	128	0	10.9732	187.662	31.3982
0.545	128	0	12.1388	209.303	34.7057
0.54	128	0	14.0133	237.821	40.0157
0.535	128	0	15.5128	265.393	44.4378
0.53	128	0	17.6237	303.313	50.4369
0.525	128	0	24.3967	416.179	69.9249
0.52	128	0	32.358	547.736	92.537
0.515	128	0	35.1922	592.114	100.58
0.51	128	0	48.2233	812.114	138.065
0.505	128	0	69.9956	1170.42	199.789
