file=sido-foo (600 300) iter=6400 (0.500000 0.750000) w=1.000000 h=0.500000 param=1.000000
#
# Dataset for average track length as function of K
#
# Computed for 6400 bits precision
# Sampled unit interval 3 times 67 bins
#
# Column labels:
# kay, avg-tracks/orbit expect 2^7=128, deficit, avg-tracklen, avg-longest, rms-len
#
1	0	128	-nan	0	-nan
0.998333	56.0299	71.9701	825.822	6045.74	1866.81
0.996667	78.5174	49.4826	529.393	5556.25	1303.79
0.995	8.96517	119.035	561.782	2228.8	899.111
0.993333	4.34826	123.652	843.128	1938.02	998.735
0.991667	85.9502	42.0498	127.35	1394.99	317.575
0.99	46.209	81.791	153.136	1336.22	352.804
0.988333	128	0	115.957	1494.28	307.047
0.986667	69.2637	58.7363	133.472	1359.01	324
0.985	128	0	112.084	1430.84	293.768
0.983333	97.3333	30.6667	58.9375	668.562	148.745
0.981667	128	0	54.4581	675.184	142.326
0.98	101.98	26.0199	57.7802	662.269	146.689
0.978333	128	0	54.9319	678.572	143.349
0.976667	128	0	55.1277	683.632	144.214
0.975	128	0	53.0566	665.488	138.713
0.973333	128	0	52.4419	665.149	137.49
0.971667	128	0	50.003	623.517	130.922
0.97	128	0	49.6026	613.149	129.82
0.968333	128	0	48.196	611.328	126.657
0.966667	128	0	50.5068	632.866	131.975
0.965	128	0	24.06	288.234	62.217
0.963333	128	0	24.9241	303.94	65.0309
0.961667	128	0	24.4661	288.91	63.1937
0.96	128	0	23.8534	284.473	61.6875
0.958333	128	0	24.9433	300.856	64.7045
0.956667	128	0	23.5211	285.423	61.439
0.955	128	0	23.7336	287.343	61.6095
0.953333	128	0	22.6153	277.249	58.5136
0.951667	128	0	23.237	283.886	60.4986
0.95	128	0	22.7064	276.886	58.8559
0.948333	128	0	22.911	276.985	59.488
0.946667	128	0	21.8854	259.975	56.5328
0.945	128	0	21.2545	253.637	54.9459
0.943333	128	0	21.5387	258.418	55.4535
0.941667	128	0	21.8254	262.279	56.5463
0.94	128	0	20.8797	245.801	53.9683
0.938333	128	0	21.3187	253.935	55.0907
0.936667	128	0	20.2514	239.348	52.2317
0.935	128	0	21.4226	254.776	55.5004
0.933333	100.806	27.194	11.8825	121.274	29.3084
0.931667	128	0	10.7986	116.851	27.3985
0.93	122.886	5.11443	10.9492	118.274	27.653
0.928333	119.94	8.0597	11.2071	119.652	28.1662
0.926667	128	0	10.4838	117.736	26.72
0.925	128	0	10.6196	118.502	26.9448
0.923333	128	0	10.6425	117.448	27.005
0.921667	128	0	10.406	117.07	26.5093
0.92	128	0	10.4968	117.736	26.8439
0.918333	128	0	10.603	120.299	27.1557
0.916667	128	0	10.3261	117.095	26.4286
0.915	128	0	10.4707	119.965	26.7526
0.913333	128	0	10.1088	115.284	25.8099
0.911667	128	0	10.3518	116.766	26.4155
0.91	128	0	10.0452	113.587	25.693
0.908333	128	0	9.68949	109.408	24.7315
0.906667	128	0	10.1586	113.841	25.9313
0.905	128	0	9.81554	111.488	25.0374
0.903333	128	0	9.41055	105.925	23.9852
0.901667	128	0	9.77651	108.9	24.9314
0.9	128	0	9.45003	106.458	24.0968
0.898333	128	0	9.65202	107.652	24.6362
0.896667	128	0	9.40683	104.239	23.9303
0.895	128	0	9.12292	99.6169	23.1669
0.893333	128	0	9.42508	105.995	24.0048
0.891667	128	0	8.99686	98.8209	22.8035
0.89	128	0	8.65353	93.6567	21.9152
0.888333	128	0	8.62517	92.1194	21.8121
0.886667	128	0	8.67969	93.398	21.968
0.885	128	0	8.5389	92.6915	21.595
0.883333	128	0	8.64168	92.7512	21.8908
0.881667	128	0	8.52278	92.9204	21.6081
0.88	128	0	8.43985	93.3632	21.374
0.878333	128	0	8.5443	92.6965	21.6664
0.876667	123.692	4.30846	5.29684	51.2388	13.1614
0.875	128	0	5.13454	49.8458	12.801
0.873333	128	0	5.1267	49.393	12.7733
0.871667	128	0	5.15702	49.7015	12.8454
0.87	128	0	5.1338	49.6269	12.7937
0.868333	128	0	5.11295	49.2935	12.7314
0.866667	128	0	4.97026	48.9602	12.3919
0.865	128	0	5.03285	49.3085	12.5497
0.863333	128	0	4.94592	48.5423	12.3382
0.861667	128	0	4.90574	48.5423	12.2451
0.86	128	0	4.8687	48.4378	12.1511
0.858333	128	0	4.92788	48.796	12.2897
0.856667	128	0	4.8319	48.4627	12.0768
0.855	128	0	4.84664	47.8955	12.1102
0.853333	128	0	4.8904	48.8458	12.23
0.851667	128	0	4.7915	48.6269	11.9993
0.85	128	0	4.76269	48.8756	11.9416
0.848333	128	0	4.8534	48.5821	12.1575
0.846667	128	0	4.77832	47.9204	11.9588
0.845	128	0	4.77259	49.2836	11.9713
0.843333	128	0	4.7589	48.7015	11.9313
